time,seconds_elapsed,dBFS
0,0.042,-160
106000000,0.148,-160
212000000,0.254,-97
321000000,0.363000244140625,-81
429000000,0.470999755859375,-75
537000000,0.579000244140625,-64
645000000,0.686999755859375,-75
756000000,0.798,-77
864000000,0.906,-80
970000000,1.012,-86
1079000000,1.121,-89
1189000000,1.230999755859375,-80
1298000000,1.34,-76
1406000000,1.448,-46
1515000000,1.557,-42
1623000000,1.665,-53
1731000000,1.773,-39
1839000000,1.881,-38
1951000000,1.993,-10
518292000000,518.334,0
2302667000000,2302.709,0
